id,section,word,correctAnswer,choice2,choice3,choice4
chunk_218,TOEIC_email,"Chen, ( ? ) making the move to the new San Francisco office.",Congratulations on,in the other words,on the result,for these reason
chunk_219,TOEIC_email,"( ? ) the company does help its employees when they more to a new area of the courtly. first, the company has a connection with a real estate agent in San Francisco who can help you locate a new place to live.",You are correct that,You are correct,are correct that,in the other words
chunk_220,TOEIC_opinion,"( ? ), the company will pay for the cost of a moving truck to ship your belonging to the new location.",In addition,on addition,at addition,in the other words
chunk_221,GENERAL_linkers,"In addition, the company will pay for ( ? ) a moving truck to ship your belonging to the new location.",the cost of,the cost for,the cost,cost of
chunk_222,TOEIC_email,( ? ) fill out a reimbursement request form and include the receipt.,You will need to,You will need for,You will need,will need to
chunk_223,GENERAL_verb_patterns,You will ( ? ) fill out a reimbursement request form and include the receipt.,need to,need for,in the other words,on the result
chunk_224,TOEIC_email,"( ? ), and I hope the move goes smoothly.",Best wishes to you,Best wishes for you,Best wishes to,wishes to you
chunk_225,TOEIC_email,"Best wishes to you, and I hope the move ( ? ).",goes smoothly,in the other words,on the result,for these reason
chunk_226,TOEIC_opinion,( ? ) dress neatly at the workplace.,I think we should,I think we,think we should,in the other words
chunk_227,TOEIC_business,I think we should ( ? ).,dress neatly at the workplace,dress neatly at the,neatly at the workplace,in the other words
chunk_228,TOEIC_picture,( ? ) two reasons why I think so. .,There are,There is,There be,in the other words
chunk_229,TOEIC_opinion,( ? ) I think so. .,There are two reasons why,There is,There be,There are two reasons
chunk_230,TOEIC_business,"Some may think newspaper advertisements are the best for ( ? ), but I think job search websites are the best. .",finding a job,finding a,a job,in the other words
chunk_231,TOEIC_business,My opinion is that it's generally a ( ? ) uniforms in the office. .,good idea to introduce,good idea for introduce,good idea to,idea to introduce
chunk_232,TOEIC_business,"First, you would have many more choices at those websites ( ? ). .",compared to other places,compared for other places,compared to other,to other places
chunk_233,TOEIC_business,"Second, it would be easy to find a job that ( ? ). .",satisfies your requirements,satisfies your,your requirements,in the other words
chunk_234,TOEIC_opinion,"( ? ) to the large amount of information websites have to offer, a variety of other services that they provide also assist job seekers in finding work. .",In addition,on addition,at addition,in the other words
chunk_235,TOEIC_email,"( ? ) the large amount of information websites have to offer, a variety of other services that they provide also assist job seekers in finding work. .",In addition to,on addition to,at addition to,In addition for
chunk_236,TOEIC_business,"In addition to the large amount of information websites have to offer, ( ? ) that they provide also assist job seekers in finding work. .",a variety of other services,a variety for other services,a variety of other,variety of other services
chunk_237,TOEIC_business,"In addition to the large amount of information websites have to offer, a variety of other services that they provide also ( ? ). .",assist job seekers in finding work,assist job seekers in finding,job seekers in finding work,in the other words
chunk_238,GENERAL_linkers,"In addition to the large amount of information websites have to offer, ( ? ) other services that they provide also assist job seekers in finding work. .",a variety of,a variety for,a variety,variety of
chunk_239,TOEIC_business,( ? ) the benefits for the employer. .,Let me first discuss,Let me first,me first discuss,in the other words
chunk_240,TOEIC_business,( ? ) another advantage for the employer. .,I would like to point out,I would like for point out,I would like to point,would like to point out
chunk_241,TOEIC_opinion,"( ? ), causal outfits are often considered inappropriate for business situations. .",Furthermore,in the other words,on the result,for these reason
chunk_242,TOEIC_business,"Furthermore, causal outfits ( ? ) for business situations. .",are often considered inappropriate,are often considered,often considered inappropriate,in the other words
chunk_243,TOEIC_opinion,"( ? ), we need to invest part of our income in business attire. .",In short,on short,at short,in the other words
chunk_244,TOEIC_business,"In short, we need to ( ? ) business attire. .",invest part of our income in,invest part for our income in,invest part of our income,part of our income in
chunk_245,GENERAL_verb_patterns,"In short, we ( ? ) invest part of our income in business attire. .",need to,need for,in the other words,on the result
chunk_246,TOEIC_opinion,"( ? ), getting some exercise may be a good way to relieve stress. .",For instance,to instance,in the other words,on the result
chunk_247,TOEIC_business,"For instance, getting some exercise may be a good way to ( ? ). .",relieve stress,in the other words,on the result,for these reason
chunk_248,TOEIC_opinion,( ? ) a company cuts employee bonuses. .,Let's say,in the other words,on the result,for these reason
chunk_249,TOEIC_business,"If incomes decrease, ( ? ) as well. .",employee motivation might decrease,employee motivation might,motivation might decrease,in the other words
chunk_250,GENERAL_linkers,"( ? ), banner ads are one of the best methods to advertise products. .",Therefore,in the other words,on the result,for these reason
chunk_251,TOEIC_business,"These opinions, however, ( ? ). .",overlook one important market factor,overlook one important market,one important market factor,in the other words
chunk_252,GENERAL_linkers,"These opinions, ( ? ), overlook one important market factor. .",however,in the other words,on the result,for these reason
chunk_253,TOEIC_personal_response,"Wearing uniforms saves employees time and energy that they would ( ? ) spend on choosing work outfits; on the other hand, it constrains their ability to express themselves fully in the workplace. .",otherwise,in the other words,on the result,for these reason
chunk_254,TOEIC_opinion,"Wearing uniforms saves employees time and energy that they would otherwise spend on choosing work outfits; ( ? ), it constrains their ability to express themselves fully in the workplace. .",on the other hand,in the other hand,at the other hand,On another hand
chunk_255,GENERAL_linkers,"( ? ) some workplaces offer onsite childcare for working parents, it is not a commonly provided benefit. .",Although,in the other words,on the result,for these reason
chunk_256,TOEIC_opinion,"( ? ), I am against the idea that we should wear suits in the workplace. .",In conclusion,on conclusion,at conclusion,On conclusion
chunk_257,TOEIC_opinion,"( ? ), although both eating out and cooking at home have good points, I think eating out is better for me. .",In conclusion,on conclusion,at conclusion,On conclusion
chunk_258,GENERAL_linkers,"In conclusion, ( ? ) both eating out and cooking at home have good points, I think eating out is better for me. .",although,in the other words,on the result,for these reason
chunk_259,TOEIC_opinion,"( ? ), I believe personal recommendations are the most effective way to find a job. .",In summary,on summary,at summary,in the other words
chunk_260,TOEIC_business,( ? ) working with colleagues.,I prefer working alone rather than,I prefer working alone rather,prefer working alone rather than,in the other words
chunk_261,TOEIC_picture,( ? ) two reasons for my preference for this working style: the efficiency and the rewarding experiences. .,There are,There is,There be,in the other words
chunk_262,TOEIC_opinion,( ? ) my preference for this working style: the efficiency and the rewarding experiences. .,There are two reasons for,There are two reasons to,There is,There be
chunk_263,TOEIC_business,"( ? ), working alone can save extra time and labor which have to be spent if you work with your colleagues. .",For one thing,to one thing,For one,one thing
chunk_264,TOEIC_business,"For one thing, working alone can ( ? ) which have to be spent if you work with your colleagues. .",save extra time and labor,save extra time and,extra time and labor,in the other words
chunk_265,TOEIC_opinion,"( ? ), it takes a lot of time and effort to call for meetings or to coordinate division of labor among them members. .",For instance,to instance,in the other words,on the result
chunk_266,TOEIC_business,"For instance, it ( ? ) call for meetings or to coordinate division of labor among them members. .",takes a lot of time and effort to,takes a lot for time and effort to,takes a lot of time and effort for,takes a lot of time and effort
chunk_267,TOEIC_business,"For instance, it takes a lot of time and effort to call for meetings or to ( ? ) among them members. .",coordinate division of labor,coordinate division for labor,coordinate division of,division of labor
chunk_268,GENERAL_linkers,"For instance, it takes ( ? ) time and effort to call for meetings or to coordinate division of labor among them members. .",a lot of,a lot for,a lot,lot of
chunk_269,TOEIC_opinion,"( ? ), working on your own is more efficient than working with colleagues. .",In short,on short,at short,in the other words
chunk_270,TOEIC_business,Another thing is that working alone will ( ? ) and provide you with a sense of accomplishment which will lead to growth as a businessperson. .,foster responsibility,in the other words,on the result,for these reason
chunk_271,TOEIC_business,Another thing is that working alone will foster responsibility and provide you with ( ? ) which will lead to growth as a businessperson. .,a sense of accomplishment,a sense for accomplishment,a sense of,sense of accomplishment
chunk_272,TOEIC_business,Another thing is that working alone will foster responsibility and provide you with a sense of accomplishment which will ( ? ) a businessperson. .,lead to growth as,lead for growth as,lead to growth,to growth as
chunk_273,GENERAL_linkers,Another thing is that working alone will foster responsibility and provide you with ( ? ) accomplishment which will lead to growth as a businessperson. .,a sense of,a sense for,a sense,sense of
chunk_274,GENERAL_verb_patterns,Another thing is that working alone will foster responsibility and provide you with a sense of accomplishment which will ( ? ) growth as a businessperson. .,lead to,lead for,in the other words,on the result
chunk_275,TOEIC_opinion,"( ? ) if you work with coworkers, they'll give your ideas and advice.",It's true that,It's true,true that,in the other words
chunk_276,TOEIC_picture,"However, ever if you're faced with problems, ( ? ) other ways to solve them, such as discussing them with your client or asking a consultant for advice. .",there are,There is,There be,in the other words
chunk_277,TOEIC_business,"However, ever if you're faced with problems, there are ( ? ) them, such as discussing them with your client or asking a consultant for advice. .",other ways to solve,other ways for solve,other ways to,ways to solve
chunk_278,GENERAL_linkers,"( ? ), ever if you're faced with problems, there are other ways to solve them, such as discussing them with your client or asking a consultant for advice. .",However,in the other words,on the result,for these reason
chunk_279,TOEIC_opinion,"( ? ), I would prefer working alone to working with coworkers in order to maximize work efficiency and to continue growing as a businessperson. .",To sum up,for sum up,To summary,For sum up
chunk_280,GENERAL_linkers,"To sum up, I would prefer working alone to working with coworkers ( ? ) maximize work efficiency and to continue growing as a businessperson. .",in order to,on order to,at order to,in order for
chunk_281,TOEIC_business,"( ? ), I have worked on many projects, both alone and together with colleagues.",In my professional life,on my professional life,at my professional life,In my professional
chunk_282,TOEIC_business,"I have found that it is sometimes possible to complete tasks more quickly ( ? ) than when collaborating with others, because I do not need to explain my plans or negotiate decisions with others.",on my own,in my own,at my own,on my
chunk_283,TOEIC_business,"I have found that it is sometimes possible to complete tasks more quickly on my own than when ( ? ), because I do not need to explain my plans or negotiate decisions with others.",collaborating with others,collaborating by others,collaborating with,with others
chunk_284,GENERAL_verb_patterns,"I have found that it is sometimes possible to complete tasks more quickly on my own than when collaborating with others, because I do not ( ? ) explain my plans or negotiate decisions with others.",need to,need for,in the other words,on the result
chunk_285,TOEIC_business,"However, the small advantage is ( ? ) the many benefits of working with a helpful group of coworkers.",greatly outweighed by,greatly outweighed with,greatly outweighed,outweighed by
chunk_286,GENERAL_linkers,"( ? ), the small advantage is greatly outweighed by the many benefits of working with a helpful group of coworkers.",However,in the other words,on the result,for these reason
chunk_287,TOEIC_opinion,"( ? ), I would always prefer to work in a team than to work alone. .",If I had a choice,If I had a,I had a choice,in the other words
chunk_288,TOEIC_business,"At work, you may frequently ( ? ) a high-stress environment, but a supportive network of coworkers can help to ease your tension.",find yourself in,find yourself,yourself in,in the other words
chunk_289,TOEIC_business,"At work, you may frequently find yourself in a ( ? ), but a supportive network of coworkers can help to ease your tension.",high-stress environment,in the other words,on the result,for these reason
chunk_290,TOEIC_business,"At work, you may frequently find yourself in a high-stress environment, but a ( ? ) can help to ease your tension.",supportive network of coworkers,supportive network for coworkers,supportive network of,network of coworkers
chunk_291,TOEIC_business,"At work, you may frequently find yourself in a high-stress environment, but a supportive network of coworkers can help to ( ? ).",ease your tension,ease your,your tension,in the other words
chunk_292,GENERAL_verb_patterns,"At work, you may frequently find yourself in a high-stress environment, but a supportive network of coworkers can ( ? ) ease your tension.",help to,help for,in the other words,on the result
chunk_293,TOEIC_picture,It can be hard for people to alleviate their stress when they are working in solitude and ( ? ) nobody to talk to.,there is,There are,There be,in the other words
chunk_294,TOEIC_business,It can be hard for people to alleviate their stress when they are ( ? ) and there is nobody to talk to.,working in solitude,working in,in solitude,in the other words
chunk_295,TOEIC_business,"However, when you have collages with whom you've been working closely, it is easy to ( ? ) them and try to find solutions together.",share your worries with,share your worries by,share your worries,your worries with
chunk_296,TOEIC_business,"However, when you have collages with whom you've been working closely, it is easy to share your worries with them and try to ( ? ).",find solutions together,find solutions,solutions together,in the other words
chunk_297,GENERAL_linkers,"( ? ), when you have collages with whom you've been working closely, it is easy to share your worries with them and try to find solutions together.",However,in the other words,on the result,for these reason
chunk_298,GENERAL_verb_patterns,"However, when you have collages with whom you've been working closely, it is easy to share your worries with them and ( ? ) find solutions together.",try to,try for,in the other words,on the result
chunk_299,GENERAL_linkers,"( ? ) you cannot solve all of your problems immediately, the simple act of talking about your troubles with people you trust will definitely help to minimize your stress.",Even if,in the other words,on the result,for these reason
chunk_300,GENERAL_verb_patterns,"Even if you cannot solve all of your problems immediately, the simple act of talking about your troubles with people you trust will definitely ( ? ) minimize your stress.",help to,help for,in the other words,on the result
chunk_301,TOEIC_business,"Having a network of teammates even helps to prevent you from being ( ? ) in the first place, because your coworkers will have an eye on you and will take care of you. .",stressed out,in the other words,on the result,for these reason
chunk_302,TOEIC_business,"Having a network of teammates even helps to prevent you from being stressed out ( ? ), because your coworkers will have an eye on you and will take care of you. .",in the first place,on the first place,at the first place,in the first
chunk_303,GENERAL_verb_patterns,"Having a network of teammates even ( ? ) prevent you from being stressed out in the first place, because your coworkers will have an eye on you and will take care of you. .",helps to,helps for,in the other words,on the result
chunk_304,TOEIC_opinion,"( ? ) to supporting, you emotionally, teammates can help you find your way when you are lost in a project, and they can provide helpful guidance that raises the overall quality of the work being completed.",In addition,on addition,at addition,in the other words
chunk_305,TOEIC_email,"( ? ) supporting, you emotionally, teammates can help you find your way when you are lost in a project, and they can provide helpful guidance that raises the overall quality of the work being completed.",In addition to,on addition to,at addition to,In addition for
chunk_306,TOEIC_business,"In addition to supporting, you emotionally, teammates can help you ( ? ) when you are lost in a project, and they can provide helpful guidance that raises the overall quality of the work being completed.",find your way,find your,your way,in the other words
chunk_307,TOEIC_business,"In addition to supporting, you emotionally, teammates can help you find your way when you are lost in a project, and they can provide helpful guidance that ( ? ) the work being completed.",raises the overall quality of,raises the overall quality for,raises the overall quality,the overall quality of
chunk_308,TOEIC_business,"The saying ""( ? )"" certainly holds true here.",two heads are better than one,two heads are better than,heads are better than one,in the other words
chunk_309,TOEIC_business,"People are far more likely to succeed when they can ( ? ) help understand and respond to confusing challenges; in fact, sometimes the most innovative and effective solutions are the result of collaboration.",rely on their team to,rely on their team for,rely on their team,on their team to
chunk_310,TOEIC_business,"People are far more likely to succeed when they can rely on their team to help understand and respond to confusing challenges; in fact, sometimes the most innovative and effective solutions are ( ? ).",the result of collaboration,the result for collaboration,the result of,result of collaboration
chunk_311,GENERAL_linkers,"People are far more likely to succeed when they can rely on their team to help understand and respond to confusing challenges; ( ? ), sometimes the most innovative and effective solutions are the result of collaboration.",in fact,on fact,at fact,in the other words
chunk_312,TOEIC_business,"Even for those with ( ? ), it is always nerve-racking to make important decisions or to hand in a report to the senior management.",extensive work experience,extensive work,work experience,in the other words
chunk_313,TOEIC_business,"Even for those with extensive work experience, it is always nerve-racking to make important decisions or to ( ? ) the senior management.",hand in a report to,hand in a report for,hand in a report,in a report to
chunk_314,TOEIC_picture,"Even if you carefully check every detail and review every step on your own, ( ? ) a chance you might miss something.",there is,There are,There be,in the other words
chunk_315,TOEIC_business,"Even if you carefully check every detail and review every step on your own, there is a chance you might ( ? ).",miss something,in the other words,on the result,for these reason
chunk_316,GENERAL_linkers,"( ? ) you carefully check every detail and review every step on your own, there is a chance you might miss something.",Even if,in the other words,on the result,for these reason
chunk_317,TOEIC_business,Knowing that you have your teammates' support also has the benefit of ( ? ) when you need them. .,giving you courage and confidence,giving you courage and,you courage and confidence,in the other words
chunk_318,TOEIC_opinion,"( ? ), I greatly prefer having a team of coworkers to work with over working alone.",To reiterate my earlier statement,for reiterate my earlier statement,To reiterate my earlier,reiterate my earlier statement
chunk_319,TOEIC_business,"The trust that I have in my colleagues, who will always be there for me at work to help me handle my stress, to guide me when I'm puzzled, and to review and confirm my work, is ( ? ) a few extra hours of team meetings.",well worth the cost of,well worth the cost for,well worth the cost,worth the cost of
chunk_320,GENERAL_linkers,"The trust that I have in my colleagues, who will always be there for me at work to help me handle my stress, to guide me when I'm puzzled, and to review and confirm my work, is well worth ( ? ) a few extra hours of team meetings.",the cost of,the cost for,the cost,cost of
chunk_321,TOEIC_opinion,"( ? ) stated above, I would never want to work alone. .",Given all of the advantages,Given all for the advantages,Given all of the,all of the advantages
chunk_322,GENERAL_verb_patterns,"Given all of the advantages stated above, I would never ( ? ) work alone. .",want to,want for,in the other words,on the result
chunk_323,TOEIC_picture,Yet teaching is not necessarily easy; ( ? ) many important characteristics teachers must possess in order to be successful in their work. .,there are,There is,There be,in the other words
chunk_324,TOEIC_opinion,Yet teaching is ( ? ) easy; there are many important characteristics teachers must possess in order to be successful in their work. .,not necessarily,in the other words,on the result,for these reason
chunk_325,TOEIC_learning_work,Yet teaching is not necessarily easy; there are many important characteristics teachers ( ? ) be successful in their work. .,must possess in order to,must possess in order for,must possess in order,possess in order to
chunk_326,GENERAL_linkers,Yet teaching is not necessarily easy; there are many important characteristics teachers must possess ( ? ) be successful in their work. .,in order to,on order to,at order to,in order for
chunk_327,TOEIC_learning_work,"First, teachers must be highly knowledgeable about their ( ? ), and just as importantly, they must be interested and motivated to keep their subject matter knowledge current.",subject matter,in the other words,on the result,for these reason
chunk_328,TOEIC_learning_work,"First, teachers must be highly knowledgeable about their subject matter, and just as importantly, they must be interested and motivated to ( ? ).",keep their subject matter knowledge current,keep their subject matter knowledge,their subject matter knowledge current,in the other words
chunk_329,TOEIC_opinion,"( ? ), a biology teacher should know not only the curriculum designed for his or her students, but also the most interesting current topics in biology research and how those topics might connect to the student curriculum.",For example,to example,For examples,For instance of
chunk_330,TOEIC_learning_work,"For example, a biology teacher should know not only the curriculum designed for his or her students, but also the most interesting current topics in biology research and how those topics might ( ? ) the student curriculum.",connect to,connect for,in the other words,on the result
chunk_331,TOEIC_learning_work,Their best students will then be well prepared to ( ? ) further studies in biology.,go on to,go on for,go on,on to
chunk_332,TOEIC_learning_work,"Second, teachers should have the ability to ( ? ).",remain calm in stressful situations,remain calm in stressful,calm in stressful situations,in the other words
chunk_333,GENERAL_linkers,"Second, teachers should have ( ? ) remain calm in stressful situations.",the ability to,the ability for,the ability,ability to
chunk_334,TOEIC_opinion,"( ? ), at the end of the school year, students are usually nervous about their marks and teachers typically have piles of tests or final papers waiting on their backs to be carefully graded.",For example,to example,For examples,For instance of
chunk_335,GENERAL_linkers,"For example, ( ? ) the school year, students are usually nervous about their marks and teachers typically have piles of tests or final papers waiting on their backs to be carefully graded.",at the end of,in the end of,on the end of,at the end for
chunk_336,TOEIC_learning_work,"In such situations, it is crucial that the teacher remain calm, assign each paper a fair grade, and help students ( ? ). .",get through this stressful time,get through this stressful,through this stressful time,in the other words
chunk_337,TOEIC_learning_work,"Schools assign teachers ( ? ) administrative paperwork to do, so it is helpful to be a tidy person, as it will make the paperwork more bearable and less likely to consume a lot of planning lessons.",an immense amount of,an immense amount for,an immense amount,immense amount of
chunk_338,GENERAL_linkers,"Schools assign teachers an immense amount of administrative paperwork to do, so it is helpful to be a tidy person, as it will make the paperwork more bearable and less likely to consume ( ? ) planning lessons.",a lot of,a lot for,a lot,lot of
chunk_339,TOEIC_learning_work,"Lessons that are well organized are ( ? ), so students can learn the material as quickly as possible. .",easy to follow,easy for follow,easy to,to follow
chunk_340,TOEIC_learning_work,An important decision when ( ? ) an organization is whether to hire people who have recently graduated from school or people who have prior experience.,bringing new people into,bringing new people in,bringing new people,new people into
chunk_341,TOEIC_learning_work,An important decision when bringing new people into an organization is whether to hire people who have recently graduated from school or people who have ( ? ).,prior experience,in the other words,on the result,for these reason
chunk_342,TOEIC_picture,"Schools equip students with a wide array of skills that prepare them to enter professions at an introductory level, and ( ? ) no doubt that these programs are valuable.",there is,There are,There be,in the other words
chunk_343,TOEIC_learning_work,"Schools ( ? ) a wide array of skills that prepare them to enter professions at an introductory level, and there is no doubt that these programs are valuable.",equip students with,equip students by,equip students,students with
chunk_344,TOEIC_learning_work,"Schools equip students with ( ? ) that prepare them to enter professions at an introductory level, and there is no doubt that these programs are valuable.",a wide array of skills,a wide array for skills,a wide array of,wide array of skills
chunk_345,TOEIC_learning_work,"Schools equip students with a wide array of skills that prepare them to enter professions at an introductory level, and ( ? ) these programs are valuable.",there is no doubt that,There are,There be,there is no doubt
chunk_346,GENERAL_linkers,"Schools equip students with ( ? ) skills that prepare them to enter professions at an introductory level, and there is no doubt that these programs are valuable.",a wide array of,a wide array for,a wide array,wide array of
chunk_347,GENERAL_linkers,"( ? ), employees in the latter category bring with them supplicated skills, specialized knowledge, informed perspectives that allow them to begin working at an advanced level from the start.",However,in the other words,on the result,for these reason
chunk_348,TOEIC_learning_work,( ? ) I agree with the statement that it is better for a company to hire a job applicant who already has work experience than to hire an applicant who recently graduated from school .,That is why,That is,is why,in the other words
chunk_349,TOEIC_learning_work,Skills are effectively ( ? ) and constructive feedback.,developed through repeated practice,developed through repeated,through repeated practice,in the other words
chunk_350,TOEIC_learning_work,Skills are effectively developed through repeated practice and ( ? ).,constructive feedback,in the other words,on the result,for these reason
chunk_351,TOEIC_learning_work,"While recent graduates may have practiced their skills in school, professionals have had much more practice (and experience integrating feedback) and ( ? ) a higher level.",tend to perform at,tend for perform at,tend to perform,to perform at
chunk_352,GENERAL_linkers,"( ? ) recent graduates may have practiced their skills in school, professionals have had much more practice (and experience integrating feedback) and tend to perform at a higher level.",While,in the other words,on the result,for these reason
chunk_353,GENERAL_verb_patterns,"While recent graduates may have practiced their skills in school, professionals have had much more practice (and experience integrating feedback) and ( ? ) perform at a higher level.",tend to,tend for,in the other words,on the result
chunk_354,TOEIC_learning_work,Companies who hire employees with experience can ( ? ) the training periods that they would need to provide to recent graduates.,shorten or even eliminate,shorten or even,or even eliminate,in the other words
chunk_355,GENERAL_verb_patterns,Companies who hire employees with experience can shorten or even eliminate the training periods that they would ( ? ) provide to recent graduates.,need to,need for,in the other words,on the result
chunk_356,TOEIC_opinion,"( ? ), a computer programmer who has just graduated from school may need to work on basic coding for elementary types of programs while learning the nuances of his or her new profession.",For example,to example,For examples,For instance of
chunk_357,GENERAL_linkers,"For example, a computer programmer who has just graduated from school may need to work on basic coding for elementary types of programs ( ? ) learning the nuances of his or her new profession.",while,in the other words,on the result,for these reason
chunk_358,GENERAL_verb_patterns,"For example, a computer programmer who has just graduated from school may ( ? ) work on basic coding for elementary types of programs while learning the nuances of his or her new profession.",need to,need for,in the other words,on the result
chunk_359,TOEIC_picture,"( ? ) an old saying that experience is the best teacher, and this statement has much truth to it.",There is,There are,There be,in the other words
chunk_360,TOEIC_learning_work,"( ? ) experience is the best teacher, and this statement has much truth to it.",There is an old saying that,There are,There be,There is an old saying
chunk_361,TOEIC_learning_work,"There is an old saying that experience is the best teacher, and this statement ( ? ).",has much truth to it,has much truth for it,has much truth to,much truth to it
chunk_362,TOEIC_learning_work,Collogues and trade schools cannot possibly ( ? ) every potential problem or situation; the curriculum probably focuses on the most common scenarios.,prepare students for,prepare students to,prepare students,students for
chunk_363,TOEIC_opinion,"( ? ), the computer programmer fresh out of school may have lots of experience troubleshooting the most common computer problems.",For example,to example,For examples,For instance of
chunk_364,TOEIC_learning_work,"For example, the computer programmer ( ? ) may have lots of experience troubleshooting the most common computer problems.",fresh out of school,fresh out for school,fresh out of,out of school
chunk_365,TOEIC_learning_work,But the programmer who has years of experience will have amassed ( ? ) specialized knowledge about potential bugs.,a considerable amount of,a considerable amount for,a considerable amount,considerable amount of
chunk_366,TOEIC_learning_work,"Finally, the perspective that comes from working in one field ( ? ) also gives an advantage to candidates with experience.",over a period of time,over a period for time,over a period of,a period of time
chunk_367,TOEIC_learning_work,"( ? ), the computer programmer with years of experience is positioned to recognize industry trends and adjust accordingly over time.",To use the same example again,for use the same example again,To use the same example,use the same example again
chunk_368,GENERAL_linkers,"To use the same example again, the computer programmer with years of experience is positioned to recognize industry trends and adjust accordingly ( ? ).",over time,in the other words,on the result,for these reason
chunk_369,TOEIC_opinion,"That person will have useful knowledge and insight about, ( ? ), applications that failed before going to market or failed to make any profits in the company in the past; thus, the experienced employee can help company avoid making similar mistakes in the future. .",for example,to example,For examples,For instance of
chunk_370,TOEIC_learning_work,"That person will have useful knowledge and insight about, for example, applications that failed before ( ? ) or failed to make any profits in the company in the past; thus, the experienced employee can help company avoid making similar mistakes in the future. .",going to market,going for market,going to,to market
chunk_371,GENERAL_linkers,"That person will have useful knowledge and insight about, for example, applications that failed before going to market or failed to make any profits in the company ( ? ); thus, the experienced employee can help company avoid making similar mistakes in the future. .",in the past,on the past,at the past,in the
chunk_372,GENERAL_linkers,"That person will have useful knowledge and insight about, for example, applications that failed before going to market or failed to make any profits in the company in the past; thus, the experienced employee can help company avoid making similar mistakes ( ? ). .",in the future,on the future,at the future,in the
chunk_373,TOEIC_learning_work,Hiring the right people is one of the most important factors ( ? ) an organization's success.,contributing to,contributing for,in the other words,on the result
chunk_374,GENERAL_linkers,Hiring the right people is ( ? ) important factors contributing to an organization's success.,one of the most,one for the most,one of the,of the most
chunk_375,TOEIC_learning_work,"Hiring people immediately after their graduation, though it may save a bit of money in salary in the short-time, will actually cost a company more because it requires ( ? ).",a lengthy period of training,a lengthy period for training,a lengthy period of,lengthy period of training
chunk_376,GENERAL_linkers,"( ? ), new hires who have experience can begin knowledge, and informed perspectives from their first days on the job.",However,in the other words,on the result,for these reason
chunk_377,IELTS_academic_frame,How the Polynesian islands were colonised ( ? ) dogged anthropologists throughout the twentieth century.,is a question that,is a question,a question that,in the other words
chunk_378,IELTS_academic_frame,How the Polynesian islands were colonised is a question that dogged anthropologists ( ? ).,throughout the twentieth century,throughout the twentieth,the twentieth century,in the other words
chunk_379,IELTS_academic_frame,Is it possible that ancient seafarers travelled from South America and discovered these islands ( ? ) the primitive tools they had on hand?,using only,in the other words,on the result,for these reason
chunk_380,IELTS_academic_frame,Is it possible that ancient seafarers travelled from South America and discovered these islands using only the primitive tools they had ( ? )?,on hand,in hand,at hand,in the other words
chunk_381,IELTS_academic_frame,This issue ( ? ) by the Norwegian explorer and writer Thor Heyerdahl.,was laid to rest,was laid for rest,was laid to,laid to rest
chunk_382,IELTS_academic_frame,He led an expedition from Peru to Polynesia using a raft ( ? ) balsa wood and other materials that were available to the Inca people.,constructed from,constructed of,in the other words,on the result
chunk_383,IELTS_academic_frame,He led an expedition from Peru to Polynesia using a raft constructed from balsa wood and other materials that were ( ? ) the Inca people.,available to,available for,in the other words,on the result
chunk_384,GENERAL_linkers,They showed that it was an easy and safe journey ( ? ) the favourable trade winds.,because of,because for,in the other words,on the result
chunk_385,IELTS_academic_frame,"( ? ) the large number of fish that gathered around the raft, it was possible to eat on the journey, and the fish provided a source of hydration.",Thanks to,Thanks for,thanks for,because to
chunk_386,IELTS_academic_frame,"Thanks to the large number of fish that gathered around the raft, it was possible to eat on the journey, and the fish ( ? ) hydration.",provided a source of,provided a source for,provided a source,a source of
chunk_387,IELTS_academic_frame,They were able to ( ? ) by following the stars just like the early explorers.,find their bearings,find their,their bearings,in the other words
chunk_388,IELTS_academic_frame,Other scientists have ( ? ) and were successful as well.,followed in Heyerdahl's footsteps,followed in Heyerdahl's,in Heyerdahl's footsteps,in the other words
chunk_389,IELTS_academic_frame,Plastic ( ? ) the most useful invention in the world today.,is arguably,in the other words,on the result,for these reason
chunk_390,IELTS_academic_frame,"Plastic is so malleable that it ( ? ) any shape and used for a variety of products, from the coating of our undersea internet cables to make them waterproof, to making baby bottles shatterproof.",can be formed into,can be formed in,can be formed,be formed into
chunk_391,IELTS_academic_frame,"Plastic is so malleable that it can be formed into any shape and ( ? ) products, from the coating of our undersea internet cables to make them waterproof, to making baby bottles shatterproof.",used for a variety of,used for a variety for,used to a variety of,used for a variety
chunk_392,GENERAL_linkers,"Plastic is so malleable that it can be formed into any shape and used for ( ? ) products, from the coating of our undersea internet cables to make them waterproof, to making baby bottles shatterproof.",a variety of,a variety for,a variety,variety of
chunk_393,IELTS_academic_frame,Where did the idea of using this amazing invention ( ? )?,spring from,spring of,in the other words,on the result
chunk_394,GENERAL_linkers,Where did ( ? ) using this amazing invention spring from?,the idea of,the idea for,the idea,idea of
chunk_395,IELTS_academic_frame,Mankind has been using simple plastics ( ? ) most people think.,for longer than,to longer than,for longer,longer than
chunk_396,IELTS_academic_frame,Their earliest origins ( ? ) 1500 BCE when the Aztecs played a religious game with natural rubber balls.,can be traced to,can be traced for,can be traced,be traced to
chunk_397,IELTS_academic_frame,"( ? ) plastics came in 1862 when the British inventor Alexander Parkes came up with 'Parkesine', which could be easily moulded into household products, such as buttons and combs.",The turning point for,The turning point to,The turning point,turning point for
